ENTREZ_id,logFC,AveExpr,t,P.Value,adj.P.Val,B
7299,-0.105520667,4.3692735,-3.059714102,0.002731712,0.007425409,-2.612560133
54221,-0.10557075,3.982028042,-4.152791355,6.17E-05,0.000255302,0.942538818
344752,-0.1058125,3.871878917,-2.835594637,0.005367177,0.013424998,-3.229578325
101930097,-0.105850833,5.763188417,-3.191927694,0.001803131,0.005152914,-2.229773221
8997,-0.105915167,5.024126417,-2.657754489,0.008934512,0.020887629,-3.689926806
11011,-0.1061855,7.632719917,-2.520475163,0.013028081,0.028994139,-4.0271354
1132,-0.106321833,5.62038925,-2.561764548,0.011648277,0.026287019,-3.927395872
157807,-0.106844167,4.865913417,-2.912830388,0.004270326,0.011000351,-3.021530122
284800 /// 728882,-0.107241167,4.706734917,-2.489654253,0.01415162,0.031174314,-4.100636919
494470,-0.1075905,4.226344583,-3.161126542,0.00198856,0.005616795,-2.320174922
54850,-0.107776667,7.085957167,-3.894017175,0.000162367,0.000611646,0.023884232
7067,-0.107791333,6.231846167,-3.058312169,0.002743587,0.007453059,-2.616545138
2900,-0.108015333,4.479391167,-2.632208222,0.009594478,0.02220272,-3.753885858
100505942,-0.108059333,5.09663,-3.289762536,0.001315443,0.003923732,-1.93774734
643827,-0.108408,4.164563,-2.791405189,0.0061051,0.015011629,-3.346412666
84181,-0.1089725,5.8815955,-2.383044049,0.018734737,0.039508175,-4.348570489
387640,-0.10931075,4.256254125,-3.404410885,0.00090135,0.00280601,-1.586211509
119369,-0.109863167,4.222999083,-3.748713162,0.000274513,0.000979625,-0.471874087
63895,-0.109935083,5.226464375,-3.391832764,0.000939936,0.002912868,-1.625264704
729723,-0.1100795,5.06420175,-3.025081714,0.003039439,0.008167512,-2.710545172
51564,-0.110184833,6.08493325,-2.803319167,0.005897535,0.014574966,-3.315071104
11036 /// 286749,-0.110332833,3.777744583,-2.489494012,0.014157681,0.031181386,-4.101016933
220004,-0.110538333,5.944914833,-2.610925598,0.010177558,0.023387752,-3.806750058
6660,-0.11121525,5.020068708,-2.677400186,0.008455212,0.019896016,-3.640367546
343035,-0.1117005,4.696549417,-2.892161442,0.004541682,0.011604281,-3.077682226
729083,-0.111756667,4.092614833,-3.198532185,0.001765526,0.005062639,-2.210292724
1506,-0.1122175,5.482172417,-2.329355976,0.021506711,0.044597226,-4.469693113
23205,-0.1122725,4.8421145,-2.859243706,0.005006654,0.012627158,-3.166392783
1103,-0.112676833,5.333187917,-2.673591554,0.008546272,0.020082041,-3.650000708
100506790,-0.112919,5.817825,-2.51407737,0.01325451,0.029414284,-4.042459749
101927121,-0.113307667,3.663959,-4.199867766,5.15E-05,0.000217798,1.114441046
54849,-0.11335425,8.386304458,-2.340874965,0.02088323,0.043452609,-4.443917809
4298,-0.113448417,7.575143042,-2.509873294,0.013405211,0.029709544,-4.052510511
64689,-0.11348275,6.828610875,-4.137138513,6.55E-05,0.000269098,0.885702242
9513,-0.114567833,8.316818417,-2.524009257,0.012904494,0.028739559,-4.018655328
441046,-0.117177167,4.114611917,-2.813296925,0.005728681,0.014204352,-3.288733054
8328,-0.1175215,5.555178667,-2.416259238,0.017182715,0.036641387,-4.272379271
387837,-0.117532583,3.975271958,-3.774297669,0.000250516,0.000905309,-0.385655688
55363,-0.117839917,3.901131708,-3.044596371,0.002862315,0.007736265,-2.655450006
567,-0.117845,13.89224083,-2.436668033,0.016286733,0.035082942,-4.225089909
101928725,-0.118107833,5.191421083,-2.351196423,0.020338172,0.042443615,-4.42072362
80256,-0.118111333,8.6394585,-2.304899667,0.02288509,0.04707624,-4.524032204
5598,-0.1181305,7.625161333,-2.489338861,0.014163551,0.031188037,-4.101384853
55188,-0.11833175,7.000616958,-2.704881401,0.007823784,0.018606149,-3.570499334
2787,-0.118633333,12.13513833,-2.358279223,0.019971448,0.041761953,-4.404753468
2172,-0.118766,4.810205167,-3.205232879,0.001728119,0.004973628,-2.190493815
6139 /// 26790 /// 26791 /// 497661 /// 100124516 /// 100526842,-0.118918333,13.2739225,-2.602705391,0.010411187,0.023851974,-3.827065862
6206,-0.119096667,13.80297833,-2.798581075,0.005979298,0.014741155,-3.32754941
5316,-0.119119,6.602739667,-2.561201324,0.01166618,0.026319277,-3.928766186
401282,-0.119206,4.670929167,-3.562267959,0.000527767,0.001742157,-1.08605689
259197,-0.119370333,5.743138833,-2.73309715,0.007220269,0.017363407,-3.498107345
6422,-0.119557417,5.315057042,-2.526543172,0.012816531,0.028574186,-4.012568616
23514,-0.119709917,6.396773792,-2.662060248,0.008827409,0.020665328,-3.6790926
100129427,-0.119848833,5.097440917,-3.104991398,0.00237281,0.00657481,-2.483021621
2994,-0.1198875,6.185976083,-3.926893436,0.000143908,0.000548912,0.138085584
439949,-0.119903333,5.225709,-3.012380487,0.003160101,0.00845024,-2.746240908
127391,-0.119975667,5.3817335,-3.497149781,0.000659509,0.002126347,-1.294615782
768206,-0.119988417,6.282884208,-3.371807504,0.001004578,0.003088695,-1.687194105
146057,-0.120506667,4.320233,-2.890114794,0.004569395,0.011668276,-3.083223526
3568,-0.121106667,5.301246667,-3.16121749,0.001987987,0.005615903,-2.319909079
56941,-0.121143167,8.00154225,-2.728451684,0.00731663,0.017564247,-3.510071651
283417,-0.121381417,4.205921875,-2.390013087,0.018399172,0.038905528,-4.332663862
54976,-0.121495583,7.957351625,-2.294508262,0.023493901,0.048134006,-4.546961876
400831,-0.122246333,5.53817975,-3.365584001,0.001025501,0.003145954,-1.706378988
317702,-0.122344167,3.93361925,-5.045700062,1.62E-06,9.55E-06,4.434430907
387694,-0.122347,4.313856667,-3.282703266,0.00134602,0.003999127,-1.959065323
79987,-0.122927667,5.610208333,-3.032807707,0.002968137,0.007996537,-2.688768906
128646,-0.122968833,7.067078917,-2.743418817,0.007010283,0.016938485,-3.471459842
54970,-0.123210833,6.553674417,-2.434819954,0.016366121,0.035229669,-4.229386942
122830,-0.123378583,5.100292208,-3.003011155,0.003251928,0.008662851,-2.772489946
80343,-0.123545833,4.59709225,-2.813428715,0.00572648,0.014203567,-3.28838462
2117,-0.1235505,6.206585583,-2.27894261,0.024432482,0.049795834,-4.581131483
80309,-0.123798167,4.233260917,-3.121663563,0.002252047,0.006280758,-2.43491458
3293,-0.123907,5.611978,-2.333830606,0.021262593,0.044166359,-4.459694305
122481,-0.124350167,5.964246917,-2.337574268,0.021060234,0.043766798,-4.451315428
161725 /// 283713,-0.1244085,4.35314625,-3.238256846,0.001554307,0.004533014,-2.092407409
645984,-0.1248945,4.235833917,-2.941903094,0.003913789,0.010198878,-2.941960658
200261,-0.124964167,5.95756925,-3.12225915,0.002247841,0.006269825,-2.433191981
541565,-0.12497375,7.171247125,-3.060700373,0.002723386,0.007408079,-2.609755713
7139,-0.124982083,6.106809708,-3.782453725,0.000243294,0.000881298,-0.358073185
4637,-0.125183333,10.4473925,-2.646712517,0.009214565,0.021456521,-3.717639511
3030,-0.125654333,9.934151667,-2.31483382,0.022316088,0.046079056,-4.502022893
5991,-0.126207667,4.818388083,-3.040178515,0.002901557,0.007831626,-2.667949389
