,logFC,AveExpr,t,P.Value,adj.P.Val,B
5130,0.282438392,-0.023022487,2.188870616,0.030088506,0.043858844,-5.095015179
54813,0.282427408,-0.056183937,3.227684522,0.001520412,0.002836141,-2.403785201
2915,0.282407878,-0.08565617,7.107332578,3.95E-11,2.11E-10,14.48362553
57611,0.282380065,-0.031202984,3.275584661,0.001298556,0.002450501,-2.257466898
10047,0.282352624,-0.032081907,4.874532336,2.66E-06,7.77E-06,3.630448475
55530,0.281976545,-0.058787178,3.602158254,0.000423415,0.000871978,-1.210484769
54797 /// 100996782,0.281884833,-0.02072257,4.318739953,2.78E-05,6.95E-05,1.374429926
196483,0.281782231,-0.037511951,3.078300507,0.002459056,0.004416853,-2.847932243
55223,0.281701148,-0.020719581,4.497414413,1.33E-05,3.50E-05,2.076907207
100287098,0.281685967,-0.028660403,3.037018196,0.002800108,0.00497835,-2.967391224
9687,0.281676519,-0.082545941,5.229411757,5.38E-07,1.73E-06,5.175616762
55515,0.281646041,-0.027506625,3.98908665,0.000101612,0.000232316,0.137855841
100874253,0.281555636,-0.023398469,4.305242066,2.93E-05,7.31E-05,1.322266925
283994,0.281463635,-0.027326737,3.575107372,0.00046598,0.000952465,-1.300434001
374920,0.28143488,-0.028135289,2.737757484,0.006903063,0.01143057,-3.790079554
55175,0.281423334,-0.038845816,3.416422823,0.000808629,0.001581336,-1.816430027
10994,0.281378908,-0.023020953,2.783344543,0.006043591,0.010111472,-3.669722799
26528,0.281361952,-0.016749264,3.26658344,0.001337797,0.002518253,-2.285105986
10406,0.281361567,0.0211772,2.402290276,0.017464639,0.026683578,-4.619656283
79596,0.281352233,-0.022538763,3.918993258,0.000132621,0.000298305,-0.11482099
