,logFC,AveExpr,t,P.Value,adj.P.Val,B
5864,0.813839522,-0.060532293,7.947069935,3.53E-13,2.38E-12,19.13048356
6936,0.813502079,-0.083754748,7.512472456,4.18E-12,2.48E-11,16.69532201
51218,0.813340084,-0.080919793,9.009335385,6.83E-16,6.22E-15,25.30693961
253980,0.813264183,-0.067733085,5.881635111,2.38E-08,9.15E-08,8.20818339
135293,0.81269814,-0.042808119,5.382714248,2.64E-07,8.80E-07,5.866724194
55226,0.812397331,-0.052939135,6.109505861,7.62E-09,3.12E-08,9.321720171
26873,0.812313309,-0.033827551,5.456880271,1.86E-07,6.33E-07,6.205996859
163081,0.81215715,-0.069770749,6.869832631,1.43E-10,7.23E-10,13.21611482
644096,0.811446691,-0.054501322,7.963819884,3.21E-13,2.17E-12,19.22552803
85437,0.811241291,-0.07551539,7.687728238,1.55E-12,9.73E-12,17.66996472
57180,0.81103113,-0.120485027,5.53951346,1.26E-07,4.39E-07,6.587704906
51207,0.810856037,-0.057658177,5.234967711,5.24E-07,1.69E-06,5.20042064
728485,0.810746429,-0.09489326,7.498882792,4.51E-12,2.67E-11,16.62018105
5245,0.810469347,-0.059905562,8.633057423,6.44E-15,5.25E-14,23.08711205
10278,0.810361601,-0.059472816,3.262501093,0.001355955,0.002550898,-2.297619354
150244,0.810038949,-0.133093244,4.771002842,4.17E-06,1.18E-05,3.194628963
51022,0.809896278,-0.050319078,7.90101044,4.60E-13,3.06E-12,18.86956472
5685,0.809686154,-0.044474759,8.831615297,1.98E-15,1.71E-14,24.25457304
3481 /// 723961,0.809124326,-0.044066117,2.423863545,0.01649682,0.025337588,-4.569315199
23743,0.808935677,0.06398294,2.824210763,0.005357107,0.009054318,-3.560301217
7586,0.808664041,-0.07859295,5.868698847,2.54E-08,9.72E-08,8.145768533
5877,0.808654862,-0.044626486,9.407323893,6.17E-17,6.37E-16,27.68662204
79962,0.808624874,-0.112075321,7.999278273,2.62E-13,1.79E-12,19.42700691
7841,0.807545602,-0.038529239,7.806571214,7.90E-13,5.11E-12,18.3366221
9131,0.807250143,-0.050903521,6.12182794,7.16E-09,2.94E-08,9.382681034
84102,0.807236342,0.037968598,4.058690839,7.77E-05,0.000181555,0.392374427
8893,0.807226799,-0.070301625,6.541231676,8.23E-10,3.79E-09,11.50099589
79007,0.807084982,-0.06143409,8.022930156,2.28E-13,1.58E-12,19.56160719
100507670,0.807033444,-0.067645954,8.469706188,1.69E-14,1.32E-13,22.13367594
11247,0.807011389,-0.076990576,8.103835886,1.43E-13,1.01E-12,20.02326897
22983,0.806827341,-0.053496779,7.562041477,3.16E-12,1.91E-11,16.96993952
53838,0.806824568,-0.006075552,6.964604866,8.59E-11,4.44E-10,13.71920092
57512,0.806619204,-0.111767826,3.821576521,0.000190943,0.000417098,-0.459872756
23613,0.806550214,-0.087870366,8.506964307,1.36E-14,1.07E-13,22.3505612
126295,0.806518742,-0.04358023,3.802137669,0.000205185,0.000446113,-0.527865537
101930067,0.806216296,-0.068170225,4.099253144,6.64E-05,0.000156671,0.542338718
57570,0.806081079,-0.056189721,8.479420716,1.60E-14,1.25E-13,22.19019206
84844,0.806057176,-0.073468008,5.356451857,2.98E-07,9.88E-07,5.747349873
338440,0.805572002,-0.01516476,6.725077976,3.11E-10,1.51E-09,12.45486925
5324,0.805308256,-0.084859372,4.509209736,1.27E-05,3.35E-05,2.124057125
4082,0.80528653,-0.024092149,5.86568217,2.58E-08,9.86E-08,8.131226276
7837,0.805234358,-0.014821945,3.312693342,0.001147837,0.002187018,-2.142822531
10447,0.804746281,-0.021921004,6.663054888,4.33E-10,2.06E-09,12.13141865
27178,0.804571783,-0.005818253,4.279307136,3.25E-05,8.05E-05,1.222401785
64949,0.804536794,-0.079998403,11.62617561,6.51E-23,1.27E-21,41.33993524
9419,0.804484667,-0.076629561,8.193571352,8.50E-14,6.19E-13,20.53750555
81624,0.804452596,-0.036827633,7.116104197,3.76E-11,2.02E-10,14.53086449
155382,0.804151573,-0.073505892,10.12930454,7.40E-19,9.39E-18,32.0711383
5275,0.803829554,-0.0604438,3.69677074,0.000301621,0.000636677,-0.891383898
53635,0.803743628,-0.075915886,5.957105165,1.64E-08,6.43E-08,8.574045859
4869,0.803208118,-0.023067042,7.844287974,6.37E-13,4.17E-12,18.54913431
89891,0.802892802,-0.047009911,4.39619482,2.03E-05,5.17E-05,1.676229082
90632,0.802883512,-0.041973053,3.092062786,0.002354176,0.004242752,-2.807790748
22977,0.802729708,-0.098273037,5.461035856,1.82E-07,6.22E-07,6.22510009
634,0.802399932,0.009142932,4.499684792,1.32E-05,3.47E-05,2.085975293
94056,0.80229284,-0.049579404,6.273905847,3.30E-09,1.41E-08,10.14117343
645369,0.801993028,-0.062018322,7.001378242,7.04E-11,3.68E-10,13.91538331
204219,0.801584817,-0.054940186,5.541313584,1.25E-07,4.35E-07,6.596063189
25843 /// 100529241,0.801296151,-0.074739188,6.415252255,1.59E-09,7.08E-09,10.85605362
158,0.801180355,-0.075932647,7.077592109,4.65E-11,2.47E-10,14.3236818
11267,0.800855872,-0.047376454,7.60017708,2.55E-12,1.56E-11,17.18178256
7032,0.800652858,-0.097105628,3.57996934,0.000458044,0.000937645,-1.284309418
126433,0.800469413,-0.061151731,6.392757066,1.79E-09,7.91E-09,10.74165561
51116,0.800079548,-0.038832227,5.820184861,3.23E-08,1.22E-07,7.912481341
2271,0.799290257,-0.059732297,9.030570725,6.01E-16,5.50E-15,25.43312999
995,0.799251153,-0.079140745,11.75196294,2.95E-23,5.95E-22,42.12501537
54431,0.799218591,-0.048265027,6.00370943,1.30E-08,5.17E-08,8.801437671
92737,0.799146556,-0.120531349,2.178956461,0.030831152,0.044826873,-5.116090061
126695,0.799013933,-0.058486963,6.130824099,6.84E-09,2.81E-08,9.427235077
29920 /// 102466270,0.798444947,-0.056897605,8.200925299,8.14E-14,5.96E-13,20.57974813
1209,0.798436514,-0.046227699,4.616924606,8.07E-06,2.20E-05,2.558999174
60559,0.797872464,0.021666621,4.606991314,8.42E-06,2.28E-05,2.518561917
26574,0.797829401,-0.047362165,7.912615302,4.31E-13,2.88E-12,18.93524345
8195,0.797648503,-0.088498962,5.747155873,4.61E-08,1.71E-07,7.563664094
152404,0.797618803,-0.081110502,4.663995142,6.61E-06,1.82E-05,2.751514748
201163 /// 201164,0.797448948,-0.086903908,4.301528248,2.98E-05,7.41E-05,1.307937311
112609,0.797431836,-0.082859428,2.360149226,0.019501129,0.029506583,-4.716785477
93,0.797262966,-0.058082606,6.921337808,1.09E-10,5.55E-10,13.48907069
84948,0.796855041,-0.053512945,8.958823268,9.24E-16,8.29E-15,25.00714878
2047,0.796155137,-0.103041377,6.053358063,1.01E-08,4.08E-08,9.044897952
84775,0.796104833,-0.077101821,6.015012983,1.23E-08,4.90E-08,8.856756847
79935,0.795952389,-0.042995428,7.770519196,9.70E-13,6.21E-12,18.13390843
5546,0.795834727,-0.064011811,4.998520608,1.53E-06,4.64E-06,4.161407732
10534,0.795796239,-0.057138928,6.992201328,7.40E-11,3.85E-10,13.86637484
7029,0.795505804,-0.112481918,6.226984684,4.19E-09,1.77E-08,9.905956289
7001,0.795149002,-0.069309522,9.488428034,3.77E-17,3.98E-16,28.17512723
56947,0.795105498,-0.068495903,7.574308269,2.95E-12,1.79E-11,17.03802793
60509,0.794543037,-0.056665608,7.818945348,7.36E-13,4.78E-12,18.40629409
100101267,0.794296766,-0.090906218,5.758758386,4.36E-08,1.62E-07,7.618892044
64172,0.794264027,-0.07111331,5.9229769,1.94E-08,7.55E-08,8.408234055
80142,0.794041924,-0.065327983,8.078506438,1.66E-13,1.16E-12,19.87853091
147645,0.793934793,-0.038266449,3.731684549,0.000265705,0.000566218,-0.77187563
51622 /// 221960,0.793914851,-0.042864062,6.825547635,1.82E-10,9.03E-10,12.98229518
115273,0.793751319,-0.029302013,4.217057468,4.18E-05,0.000101642,0.984652364
10123,0.793644696,0.043502693,4.707017291,5.50E-06,1.54E-05,2.928760887
56970,0.793456159,-0.067346707,8.391437112,2.68E-14,2.05E-13,21.67920846
51073,0.793402908,-0.042599864,5.622813051,8.43E-08,3.02E-07,6.976376203
100874291,0.793224369,-0.080966507,5.559911108,1.14E-07,4.01E-07,6.682521157
7444,0.793089944,-0.035392427,5.468283959,1.76E-07,6.02E-07,6.258443241
8450,0.792857517,-0.030961234,5.841464006,2.90E-08,1.10E-07,8.014652828
54910,0.792489398,-0.059418563,6.49577511,1.04E-09,4.74E-09,11.26745365
6745,0.792413885,0.027469242,7.149614746,3.13E-11,1.69E-10,14.71160555
11331,0.792013736,-0.080531931,8.159270377,1.04E-13,7.49E-13,20.34067295
6059,0.791911759,-0.058687777,6.832831789,1.75E-10,8.71E-10,13.02069882
117246,0.79186346,-0.064521565,7.315589657,1.25E-11,7.05E-11,15.61304236
11040,0.79175146,0.038011412,3.863231981,0.00016352,0.000361635,-0.313205166
11238 /// 340591,0.791509672,-0.102204568,5.606457354,9.12E-08,3.25E-07,6.899756864
101928173,0.791178222,0.030143632,4.581630626,9.37E-06,2.53E-05,2.4156222
5062,0.790996322,-0.043386613,6.97526777,8.11E-11,4.20E-10,13.77603085
90355,0.790378628,-0.063876381,4.883171706,2.56E-06,7.49E-06,3.667128818
389906 /// 102725263,0.790093216,-0.065256471,7.24838461,1.82E-11,1.01E-10,15.24680477
1750,0.789642793,-0.11947157,6.083841042,8.67E-09,3.53E-08,9.194991078
54994,0.789401173,-0.072828023,7.26785744,1.63E-11,9.08E-11,15.35275186
222962,0.789325222,-0.069917895,8.175964116,9.41E-14,6.82E-13,20.43642715
661,0.789014898,-0.053023867,6.572884328,6.97E-10,3.23E-09,11.66416456
59336,0.788856364,-0.108566459,5.523387912,1.36E-07,4.71E-07,6.512912544
8294 /// 8359 /// 8360 /// 8361 /// 8362 /// 8363 /// 8364 /// 8365 /// 8366 /// 8367 /// 8368 /// 8370 /// 121504 /// 554313,0.788809785,-0.086132614,12.25235249,1.27E-24,2.95E-23,45.25190617
81671 /// 406991,0.788585119,0.035367559,4.060255062,7.73E-05,0.000180517,0.398135237
83444 /// 100532735,0.788407883,-0.063710569,6.616123888,5.55E-10,2.61E-09,11.88778173
23560,0.788205928,-0.046194925,6.401611468,1.71E-09,7.58E-09,10.78665621
10245,0.787812863,-0.059489055,12.15219435,2.38E-24,5.37E-23,44.62570243
7358,0.787565815,0.010306582,3.794495666,0.000211055,0.000457784,-0.554516747
4931,0.78726896,-0.036002371,7.605057947,2.48E-12,1.52E-11,17.20893107
9141,0.787108713,-0.06967373,5.764343852,4.24E-08,1.58E-07,7.645504628
100310756,0.786087406,0.000761053,5.765850281,4.21E-08,1.57E-07,7.652685047
9126,0.785966958,-0.081865651,6.941357159,9.74E-11,5.00E-10,13.59545632
642946,0.783808611,-0.060533045,3.436095647,0.000755974,0.001485803,-1.753549545
29083,0.783555607,-0.054967029,6.274325689,3.29E-09,1.41E-08,10.14328288
10067,0.783348967,-0.053412436,9.084119076,4.36E-16,4.05E-15,25.75174802
4704,0.783289341,-0.065685568,7.782913542,9.04E-13,5.81E-12,18.20355303
55094,0.7828648,-0.061806039,5.087823576,1.03E-06,3.17E-06,4.549803091
6760 /// 55661,0.782835383,-0.071242533,7.041543977,5.66E-11,2.98E-10,14.13027743
55572,0.781794861,-0.057505661,6.955871549,9.01E-11,4.64E-10,13.67268908
51255,0.780956327,-0.012642852,7.759546373,1.03E-12,6.59E-12,18.07229227
55210,0.780823707,-0.050720181,8.708789163,4.11E-15,3.42E-14,23.5313196
8295,0.780661407,-0.061296434,5.564158834,1.12E-07,3.94E-07,6.70229558
2564 /// 407009 /// 574412,0.780580122,-0.040872674,2.547453695,0.011815774,0.018672251,-4.272902
8726,0.780211304,-0.039747993,5.552519567,1.18E-07,4.14E-07,6.648135424
221393,0.779839098,-0.031465544,7.571701136,2.99E-12,1.81E-11,17.02355244
26986 /// 51132,0.779788269,-0.039154613,7.587722876,2.73E-12,1.66E-11,17.11254564
56902,0.77972692,-0.051516668,6.22006951,4.34E-09,1.83E-08,9.871379922
283237,0.779591153,-0.057488105,10.18011581,5.41E-19,6.97E-18,32.38243222
5479,0.779455616,-0.010369641,4.888943205,2.49E-06,7.32E-06,3.691659563
79414,0.779140124,-0.052068971,5.611000885,8.92E-08,3.18E-07,6.92102648
284184,0.778975869,-0.062048147,9.26704724,1.44E-16,1.43E-15,26.84445171
1678,0.778030426,-0.074238777,9.145149829,3.02E-16,2.88E-15,26.11558763
57657,0.77763265,-0.087399056,8.238842879,6.53E-14,4.83E-13,20.79779171
5747,0.77758051,-0.085831066,5.959840215,1.62E-08,6.35E-08,8.587360026
51236,0.777426206,-0.063123821,8.485822638,1.54E-14,1.21E-13,22.22744947
746,0.776484264,-0.044487235,7.66705588,1.75E-12,1.09E-11,17.55446813
10328,0.776267273,-0.073014549,9.224082386,1.87E-16,1.84E-15,26.58722827
6227,0.776250458,-0.084018795,6.157427534,5.98E-09,2.48E-08,9.559223775
5387,0.776227027,-0.06490106,9.995991061,1.68E-18,2.06E-17,31.25593008
144406,0.775982504,-0.076707188,3.070408005,0.002521135,0.004520933,-2.870881377
302 /// 4809,0.775947281,-0.074684173,7.794908582,8.44E-13,5.45E-12,18.27100032
85459,0.775785336,-0.065444801,7.763412506,1.01E-12,6.46E-12,18.09399755
54480,0.775668396,-0.005915085,6.89135077,1.28E-10,6.47E-10,13.33002002
9139,0.775578506,-0.10504159,6.806959326,2.01E-10,9.93E-10,12.88439381
283377,0.775489974,-0.081565472,7.025957715,6.16E-11,3.23E-10,14.04681236
5753,0.775199661,-0.003402591,5.17947157,6.76E-07,2.15E-06,4.953496609
57089,0.774369648,-0.020980849,6.680031071,3.95E-10,1.89E-09,12.21978463
54555,0.77436786,-0.028889875,7.564680783,3.11E-12,1.88E-11,16.98458502
4741,0.772924209,-0.135406346,4.723391351,5.12E-06,1.44E-05,2.996541304
203447,0.772753055,-0.02748787,4.472047203,1.48E-05,3.87E-05,1.975828419
57171,0.772676055,-0.058763355,8.749401898,3.23E-15,2.73E-14,23.77008555
283869,0.772618441,-0.071363213,4.866691749,2.75E-06,8.02E-06,3.597200888
81853,0.772511248,-0.082194853,6.794792987,2.14E-10,1.06E-09,12.82039405
85477,0.771905841,0.08126564,3.039747709,0.002776277,0.004940395,-2.959536997
3537 /// 28823 /// 100290481,0.771731312,0.084645767,5.216939451,5.69E-07,1.83E-06,5.120002991
8883,0.771252761,-0.074869992,8.108274115,1.39E-13,9.90E-13,20.04864895
3948,0.771201196,-0.042854784,6.721600648,3.17E-10,1.53E-09,12.43669124
146771,0.771174672,-0.071518293,3.989605722,0.00010141,0.000231966,0.139740661
139728,0.771014532,-0.060942941,5.85053047,2.78E-08,1.06E-07,8.058257884
81893 /// 387254 /// 100271836 /// 101060604,0.771006379,-0.062760183,6.891963855,1.27E-10,6.45E-10,13.33326814
22847,0.7708464,-0.045144288,7.585775841,2.76E-12,1.68E-11,17.10172616
30014 /// 64663 /// 728712,0.770709905,-0.034921693,4.940453557,1.98E-06,5.91E-06,3.911534406
47,0.770610392,-0.070589037,5.557420919,1.15E-07,4.05E-07,6.67093328
9084 /// 353513,0.770228379,-0.081721446,4.283345374,3.20E-05,7.93E-05,1.23792015
5281,0.770178028,-0.055440133,6.699112084,3.57E-10,1.72E-09,12.31925552
56919,0.769982664,-0.068567497,6.647543177,4.70E-10,2.23E-09,12.05078504
133686,0.769606539,-0.024723009,6.43550676,1.43E-09,6.41E-09,10.95925664
55731,0.769473371,-0.063774793,6.505743715,9.91E-10,4.52E-09,11.31858966
5929,0.769425396,-0.060954605,4.301366334,2.98E-05,7.41E-05,1.307312793
1984,0.769001309,-0.049734881,3.363803971,0.000966837,0.001867523,-1.983086451
374897,0.768965338,-0.03044346,4.164586226,5.14E-05,0.000123485,0.786403236
51367,0.76887934,-0.051981624,6.868573948,1.44E-10,7.27E-10,13.20945793
51499,0.768710606,-0.052809704,7.72446818,1.26E-12,7.98E-12,17.87557493
9887,0.768598595,-0.076967151,8.07992947,1.64E-13,1.16E-12,19.88665753
282679,0.768212834,-0.104343753,7.738464075,1.16E-12,7.39E-12,17.95401603
1962,0.768117584,-0.028400923,3.899924526,0.000142503,0.000318567,-0.182925698
114799,0.767953928,-0.074534066,6.582552017,6.62E-10,3.08E-09,11.71409012
84894,0.767866776,-0.080932547,7.490755576,4.72E-12,2.79E-11,16.57527393
154790,0.767436757,-0.081494701,6.150285144,6.20E-09,2.56E-08,9.523753752
100507475,0.766798806,-0.084470172,7.071280431,4.81E-11,2.55E-10,14.2897819
30014 /// 728712,0.766670925,-0.060184872,4.304700992,2.94E-05,7.32E-05,1.320178607
81542,0.766657951,-0.032219378,4.865819694,2.76E-06,8.05E-06,3.593505419
101930288 /// 101930531,0.766067699,-0.13214975,4.443504402,1.67E-05,4.32E-05,1.862624571
5716,0.766052323,-0.047106524,4.959232492,1.83E-06,5.47E-06,3.992111506
10898,0.765809224,-0.065531385,8.625471676,6.73E-15,5.48E-14,23.04269229
57176,0.765779367,-0.069494479,6.914588243,1.13E-10,5.74E-10,13.45323919
57628,0.765663132,-0.103178877,3.529598984,0.000546808,0.001102943,-1.450458145
4706,0.765352262,-0.065007711,9.541096415,2.73E-17,2.94E-16,28.49295603
64223,0.765120394,-0.073415259,6.089151168,8.44E-09,3.44E-08,9.221184789
8078,0.764063802,-0.075661862,7.635746213,2.08E-12,1.29E-11,17.37980856
55251,0.763869143,-0.073812696,6.518615967,9.27E-10,4.25E-09,11.3846869
5365,0.763717823,-0.051718575,6.320497571,2.59E-09,1.13E-08,10.37577941
11284,0.763558266,-0.044141917,5.493626508,1.56E-07,5.39E-07,6.375260834
90427,0.763439477,-0.035352296,4.959973791,1.82E-06,5.45E-06,3.995296852
1562,0.763080788,-0.075462716,3.663553005,0.000340014,0.000710725,-1.004211295
9425,0.762867042,-0.035731521,6.599645605,6.05E-10,2.83E-09,11.80246551
221504,0.762663733,-0.067784886,6.970350724,8.33E-11,4.31E-10,13.74981888
57154,0.762600915,-0.054949157,6.886286718,1.31E-10,6.64E-10,13.30319663
1175,0.762197611,-0.019239775,6.389861681,1.81E-09,8.02E-09,10.72694834
774,0.761955874,-0.094322052,7.08299608,4.51E-11,2.40E-10,14.35271875
23160,0.761955828,-0.042448544,4.498358047,1.33E-05,3.49E-05,2.080675733
83590,0.76189537,-0.056410536,5.652183374,7.32E-08,2.64E-07,7.11433403
8446,0.761878628,-0.044336051,7.723709816,1.27E-12,8.01E-12,17.87132642
9533,0.761791792,-0.0653192,6.521260298,9.14E-10,4.19E-09,11.39827441
79862,0.761685772,-0.076857417,7.159236079,2.97E-11,1.61E-10,14.76357812
9947,0.761663427,-0.11106374,4.026454402,8.80E-05,0.000203682,0.274052626
84002,0.761542409,-0.071269408,4.16926896,5.05E-05,0.000121373,0.804015215
64146 /// 84342,0.7610818,-0.062940089,6.95592143,9.01E-11,4.64E-10,13.67295465
222229 /// 100616367,0.760099621,-0.066934663,8.479257953,1.60E-14,1.25E-13,22.18924496
441273,0.759745,-0.056808042,6.252235754,3.68E-09,1.57E-08,10.03240927
650655,0.759636472,-0.062439603,5.137296706,8.20E-07,2.57E-06,4.767087737
133,0.75859967,-0.033386906,2.265621042,0.024846546,0.036817987,-4.928825979
51668,0.758461281,-0.046963324,6.599954457,6.04E-10,2.83E-09,11.80406349
51501,0.757756931,-0.065040063,6.367545249,2.03E-09,8.96E-09,10.61372154
149473,0.757592824,-0.081086911,6.221248701,4.32E-09,1.82E-08,9.877274327
100129461,0.757587897,-0.065388571,6.880189026,1.36E-10,6.85E-10,13.27091217
25789,0.757438268,-0.062940384,7.418927368,7.05E-12,4.08E-11,16.17938637
51121,0.757322694,-0.055694798,7.83040149,6.90E-13,4.50E-12,18.47084021
80119,0.75724863,-0.075909082,11.35357098,3.60E-22,6.41E-21,39.64061677
100381270,0.757247324,-0.037233344,5.432226166,2.09E-07,7.06E-07,6.092865238
79568,0.756917511,-0.055085393,7.953666255,3.40E-13,2.30E-12,19.16790308
84299,0.756202041,-0.069460927,7.148508914,3.15E-11,1.70E-10,14.70563432
375248,0.75615669,-0.058523903,6.565925268,7.23E-10,3.35E-09,11.6282525
55661,0.755819129,-0.070391705,7.352831172,1.02E-11,5.78E-11,15.81670264
154754,0.755598635,-0.057061753,6.914986828,1.12E-10,5.73E-10,13.45535465
57128,0.755487243,-0.075918435,5.857732898,2.68E-08,1.02E-07,8.0929287
27336,0.755173857,-0.107097896,6.507976539,9.80E-10,4.47E-09,11.33004955
81559,0.754907198,-0.046523824,8.305197892,4.43E-14,3.34E-13,21.18030801
8892,0.754701986,-0.056114475,7.304361412,1.33E-11,7.48E-11,15.55173808
56479,0.7540929,-0.051559308,6.27437737,3.29E-09,1.41E-08,10.14354255
57146,0.754072323,-0.003660341,4.394239587,2.04E-05,5.21E-05,1.668559052
55615,0.754020199,-0.045459132,5.566874223,1.10E-07,3.89E-07,6.714941815
506,0.753439293,-0.084729279,7.888754309,4.94E-13,3.27E-12,18.8002448
29959,0.752678203,-0.045058738,6.235972773,4.00E-09,1.70E-08,9.950931887
25912,0.752626418,-0.067638076,7.518243524,4.04E-12,2.41E-11,16.72725107
389906 /// 441528,0.7524458,-0.066286898,8.1632849,1.01E-13,7.32E-13,20.36369285
51308,0.75208277,-0.08551145,8.046017715,2.00E-13,1.39E-12,19.69315463
93183,0.751680916,-0.027719091,5.427416915,2.14E-07,7.21E-07,6.07083743
10886,0.7516126,-0.151098181,4.562412084,1.02E-05,2.73E-05,2.337902288
201299,0.751054194,-0.062253971,8.323797903,3.98E-14,3.01E-13,21.28774407
84250,0.750950715,-0.039629141,6.990926776,7.45E-11,3.88E-10,13.85957086
3641,0.750391547,-0.029659917,3.582101749,0.000454604,0.000931125,-1.277231479
81889,0.750296189,-0.058752187,6.140856483,6.50E-09,2.68E-08,9.476968221
23420 /// 283820 /// 408050 /// 101060373,0.74987655,-0.029907573,6.314657694,2.67E-09,1.16E-08,10.34631711
8408,0.749643941,-0.082287873,7.52420309,3.91E-12,2.34E-11,16.76023501
3227,0.749398908,-0.073163639,8.265728005,5.58E-14,4.16E-13,20.95263244
10922,0.749147097,-0.026902872,8.282941712,5.05E-14,3.78E-13,21.05187524
9618,0.748797066,-0.061975336,6.727775852,3.07E-10,1.48E-09,12.46897618
5100,0.748630473,-0.115825724,3.377569059,0.000922865,0.001787479,-1.939704775
285708,0.748598624,-0.091067484,7.268723453,1.62E-11,9.04E-11,15.35746689
3303 /// 3304,0.74851453,-0.059556262,3.077194538,0.002467669,0.004430869,-2.851151227
11266,0.748408049,-0.040721185,7.176496921,2.70E-11,1.47E-10,14.85690609
11051,0.748083029,-0.090795043,6.083376868,8.69E-09,3.53E-08,9.192702079
284098,0.747850042,-0.047232038,4.567326751,9.95E-06,2.67E-05,2.357753492
9170,0.747400699,-0.046116094,8.235507087,6.66E-14,4.91E-13,20.7785935
64710,0.747212708,-0.071016643,6.855838911,1.55E-10,7.75E-10,13.14214194
56342 /// 692312,0.747114919,-0.066649295,7.211339827,2.23E-11,1.22E-10,15.04564217
100505876,0.747035705,-0.077951747,6.281489275,3.17E-09,1.36E-08,10.17928837
6726,0.74690766,-0.059302967,8.188803638,8.74E-14,6.36E-13,20.51012686
83741,0.746725639,-0.055412342,4.919098187,2.18E-06,6.46E-06,3.820173292
80304,0.746307404,-0.085897197,5.799178569,3.58E-08,1.34E-07,7.81185512
50617,0.746146138,-0.04042841,3.571174678,0.000472494,0.000964878,-1.31346307
8882 /// 442240,0.74566269,-0.058885372,5.622454854,8.44E-08,3.02E-07,6.974696622
6949,0.745254869,-0.057246511,9.553252436,2.54E-17,2.75E-16,28.56637725
55006,0.745131871,-0.049704955,6.422876498,1.53E-09,6.81E-09,10.89487934
7353,0.745117964,-0.043186141,6.92798423,1.05E-10,5.37E-10,13.52437271
677778,0.745006264,-0.091316111,4.56647672,9.99E-06,2.68E-05,2.3543189
1993,0.744952213,-0.115880904,4.607695809,8.40E-06,2.28E-05,2.521427654
55734,0.744885436,-0.073605443,11.42918314,2.24E-22,4.10E-21,40.1116277
3326,0.744665181,-0.080995766,4.04716595,8.13E-05,0.000189185,0.349985282
90701,0.744547519,-0.055980644,3.155343403,0.001923067,0.003519429,-2.621181577
5646,0.744253752,-0.075631245,4.896549149,2.41E-06,7.10E-06,3.724019767
84837,0.744150213,-0.074731618,5.333422563,3.32E-07,1.09E-06,5.643002578
727897,0.744112956,-0.003418594,2.589752895,0.010511138,0.01678024,-4.168336595
23362,0.744107388,0.036184412,3.426551095,0.000781105,0.001531207,-1.784095684
4686,0.743628603,-0.063884142,7.450367431,5.91E-12,3.46E-11,16.35244874
91419,0.743535247,-0.052105618,7.936217417,3.76E-13,2.53E-12,19.06894807
192134,0.743523795,-0.025142939,4.891937611,2.46E-06,7.23E-06,3.704395142
8358,0.743114289,-0.062116913,9.100998316,3.94E-16,3.69E-15,25.85230098
7988,0.742963609,-0.038507074,8.901365696,1.30E-15,1.15E-14,24.66679102
63939,0.742815246,-0.045273867,4.212881553,4.24E-05,0.000103241,0.968802333
29074,0.742813442,-0.056119265,7.278816964,1.54E-11,8.56E-11,15.41244169
728190 /// 101060691,0.7420395,-0.059920095,5.765685603,4.21E-08,1.57E-07,7.651900046
7335 /// 387521 /// 387522,0.741713542,-0.073545097,5.482159999,1.65E-07,5.66E-07,6.322360192
388327,0.741680955,-0.063667922,7.277280747,1.55E-11,8.63E-11,15.40407219
101928000,0.741376216,-0.083016228,5.478337504,1.68E-07,5.76E-07,6.304741761
79714,0.741140575,-0.042718967,6.625045834,5.29E-10,2.50E-09,11.93402487
554202,0.740621154,-0.030684686,5.310569574,3.69E-07,1.21E-06,5.539761489
59343,0.740346563,-0.058443483,5.700757048,5.78E-08,2.11E-07,7.343531436
116115,0.740346051,-0.027574717,5.856620931,2.70E-08,1.03E-07,8.08757417
64778 /// 101928615,0.74026992,0.001818792,5.664674292,6.89E-08,2.49E-07,7.173149889
170712,0.740107178,-0.089809951,4.392419818,2.06E-05,5.25E-05,1.661422814
28511,0.739914231,-0.076553149,7.250746972,1.79E-11,9.95E-11,15.25965034
3359,0.739513979,-0.032621818,4.809590661,3.53E-06,1.01E-05,3.356258742
79023,0.73921174,-0.051518912,8.916977669,1.19E-15,1.05E-14,24.75920091
10877,0.73909961,-0.057427056,6.662033194,4.35E-10,2.07E-09,12.12610442
7554,0.738576565,-0.072226111,7.955148281,3.37E-13,2.28E-12,19.1763121
84311,0.738425188,-0.070636067,6.976474844,8.06E-11,4.18E-10,13.78246705
54499,0.738397946,-0.035810092,7.318999197,1.23E-11,6.93E-11,15.63166696
9898,0.738297607,-0.058826452,9.210161966,2.04E-16,1.98E-15,26.50396368
9937,0.736586536,-0.084123518,6.038972255,1.09E-08,4.37E-08,8.974226649
65080,0.736077255,-0.040423761,6.882254418,1.34E-10,6.78E-10,13.28184575
8464,0.73601782,-0.064996156,8.008835084,2.48E-13,1.70E-12,19.48137378
114991,0.736017672,-0.062172293,4.414297522,1.88E-05,4.83E-05,1.747368898
2491,0.735917589,-0.062258154,11.90734089,1.11E-23,2.34E-22,43.09542634
54704,0.735872592,0.02218225,4.108505952,6.40E-05,0.000151688,0.576715922
6193,0.735065391,-0.045404534,7.253528751,1.77E-11,9.80E-11,15.27477919
348654,0.734849353,-0.073341331,7.330296092,1.15E-11,6.52E-11,15.69340642
64843,0.734727584,-0.054590793,7.626363726,2.20E-12,1.35E-11,17.32753198
90423,0.734686353,-0.07024772,4.826038204,3.28E-06,9.47E-06,3.425444777
7532,0.734660285,-0.046943307,8.020344282,2.32E-13,1.59E-12,19.54688322
51087,0.734109464,-0.064385341,5.952552263,1.68E-08,6.57E-08,8.551890945
